ENRAD;OFFENTLIGA HUS I NORDEN;;;;
ENVAR HOLDING;ONCOLOGY VENTURE SWEDEN;;;;
ENVIROLOGIC B;ONE MEDIA HOLDING;;;;
ENZYMATICA;PALLAS GROUP B;;;;
EOLUS B;PANION ANIMAL HEALTH;;;;
EPISURF MEDICAL B;PEAB INDUSTRI 'B';;;;
EQL PHARMA;PEN CONCEPT GROUP;;;;
EWORK GROUP;PRECISIONSMETALL GROUP;;;;
EXALT;PROCAST MEDIA;;;;
EXPRES2ION BIOTECH HOLDING;PROMIKBOOK;;;;
EYE WORLD;PV ENTERPRISE SWEDEN;;;;
FAGERHULT GROUP;QUICKCOOL;;;;
FASTIGHETS B;RAYCLINIC;;;;
FENIX OUTDOOR INTERNATIONAL B;REBELLE;;;;
FERROAMP;RESURS CNC 'B';;;;
FINEPART SWEDEN;ROBERT FRIMAN INTERNATIONAL;;;;
FINGERPRINT CARDS B;SAK I;;;;
FIREFLY;SALTANGEN;;;;
FIRST VENTURE SWEDEN B;SCIROCCO 'B';;;;
FLEMING PROPERTIES;SEANET MARITIME COMMS.;;;;
FLEXION MOBILE;SENSEC HOLDING;;;;
FLEXQUBE;SIX 'B';;;;
FLOWSCAPE TECHNOLOGY;SKANDITEK INDRI.FRV.;;;;
FLUOGUIDE;SKANSKA ENERGI B;;;;
FORMPIPE SOFTWARE;SLITEVIND;;;;
FORTINOVA FASTIGHETER B;SMART WIRES TECHNOLOGY SDR;;;;
FRACTAL GAMING GROUP;SNOWOLVERINE 'B';;;;
FRAGBITE GROUP;SOFTWARE GROUP;;;;
FREE2MOVE HOLDING AB;STAVRULLEN FINANS 'B';;;;
FREEMELT HOLDING;STORMFAGELN;;;;
FREJA EID GROUP;STRAND INTERCONNECT 'B';;;;
FRISQ HOLDING;SYSTEMATISK KAPFORV.;;;;
FRONT VENTURES B B;TATURA;;;;
FRONTWALKER B;TCT TECH SWEDEN;;;;
FX INTERNATIONAL;TECHNOLOGY NEXUS;;;;
G5 ENTERTAINMENT;TICKET TRAVEL;;;;
GAMETHRILL;TIKSPAC AB;;;;
GAMING CORPS;TORSLANDA PROPERTY INV.;;;;
GAPWAVES B;TRANSCENDENT GROUP;;;;
GARPCO SHARE B;TRAVELPARTNER;;;;
GASPOROX;TRETTI;;;;
GENERIC SWEDEN;TRICORONA;;;;
