simulation,portfolio_group,cap_segment,portfolio_size,weighting,final_wealth
9,sim9_small_10_market_cap,small,10,market_cap,62.97517942598493
9,sim9_small_10_risk_parity,small,10,risk_parity,44.949162553670426
9,sim9_small_50_equal,small,50,equal,28.026935428241103
9,sim9_small_50_market_cap,small,50,market_cap,16.791256942127717
9,sim9_small_50_risk_parity,small,50,risk_parity,9.678021473245677
9,sim9_small_100_equal,small,100,equal,38.71662503736185
9,sim9_small_100_market_cap,small,100,market_cap,10.973994876237114
9,sim9_small_100_risk_parity,small,100,risk_parity,72.90366538414251
9,sim9_mid_10_equal,mid,10,equal,11.652196118117988
9,sim9_mid_10_market_cap,mid,10,market_cap,26.14196470885604
9,sim9_mid_10_risk_parity,mid,10,risk_parity,15.881277033559648
9,sim9_mid_50_equal,mid,50,equal,23.312966135519847
9,sim9_mid_50_market_cap,mid,50,market_cap,13.442326140169897
9,sim9_mid_50_risk_parity,mid,50,risk_parity,31.09080772975107
9,sim9_mid_100_equal,mid,100,equal,13.307266851921767
9,sim9_mid_100_market_cap,mid,100,market_cap,28.248751886460166
9,sim9_mid_100_risk_parity,mid,100,risk_parity,20.01158643450963
9,sim9_large_10_equal,large,10,equal,30.747937345704205
9,sim9_large_10_market_cap,large,10,market_cap,9.956979782687636
9,sim9_large_10_risk_parity,large,10,risk_parity,64.17338702005225
9,sim9_large_50_equal,large,50,equal,42.83856777366652
9,sim9_large_50_market_cap,large,50,market_cap,15.4071374087452
9,sim9_large_50_risk_parity,large,50,risk_parity,47.90451688376493
9,sim9_large_100_equal,large,100,equal,31.52842501428783
9,sim9_large_100_market_cap,large,100,market_cap,21.0547368991778
9,sim9_large_100_risk_parity,large,100,risk_parity,44.07034833065299
10,sim10_small_10_equal,small,10,equal,17.153666933468386
10,sim10_small_10_market_cap,small,10,market_cap,11.64222717193723
10,sim10_small_10_risk_parity,small,10,risk_parity,8.09723320280696
10,sim10_small_50_equal,small,50,equal,20.09995387911625
10,sim10_small_50_market_cap,small,50,market_cap,11.65279965536086
10,sim10_small_50_risk_parity,small,50,risk_parity,15.092269413363082
10,sim10_small_100_equal,small,100,equal,17.43252224492821
10,sim10_small_100_market_cap,small,100,market_cap,11.509428735168573
10,sim10_small_100_risk_parity,small,100,risk_parity,47.91352935725154
10,sim10_mid_10_equal,mid,10,equal,62.685954596173204
10,sim10_mid_10_market_cap,mid,10,market_cap,16.84526374648026
10,sim10_mid_10_risk_parity,mid,10,risk_parity,6.956573185158544
10,sim10_mid_50_equal,mid,50,equal,18.89854575280387
10,sim10_mid_50_market_cap,mid,50,market_cap,24.63213391374761
10,sim10_mid_50_risk_parity,mid,50,risk_parity,24.869223530162863
10,sim10_mid_100_equal,mid,100,equal,14.527554058342638
10,sim10_mid_100_market_cap,mid,100,market_cap,18.63746351976147
10,sim10_mid_100_risk_parity,mid,100,risk_parity,16.01220780024446
10,sim10_large_10_equal,large,10,equal,33.66413761733501
10,sim10_large_10_market_cap,large,10,market_cap,14.254504374635474
10,sim10_large_10_risk_parity,large,10,risk_parity,54.35203778120707
10,sim10_large_50_equal,large,50,equal,30.373873169417532
10,sim10_large_50_market_cap,large,50,market_cap,77.91950201893538
10,sim10_large_50_risk_parity,large,50,risk_parity,52.99214827504726
10,sim10_large_100_equal,large,100,equal,25.742956166312247
10,sim10_large_100_market_cap,large,100,market_cap,13.682315673713255
10,sim10_large_100_risk_parity,large,100,risk_parity,39.31412978710803
